"punishment";"offence";"age";"tot";"length";"region";"2023"
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Jammerbugt";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Læsø";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Mariagerfjord";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Morsø";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Rebild";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Thisted";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Vesthimmerlands";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Aalborg";14
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"15 - 21 days";"Unknown municipality";95
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Copenhagen";45
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Frederiksberg";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Dragør";0
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Tårnby";4
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Albertslund";6
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Ballerup";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Brøndby";2
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Gentofte";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Gladsaxe";5
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Glostrup";3
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Herlev";1
"111 Unsuspended imprisonment alone";"Nature of the offence, total";"Age, total";"Total";"22 - 30 days";"Hvidovre";6
