"sex";"offence";"region";"age";"length";"2020";"2021";"2022";"2023"
"Total";"Nature of the offence, total";"All Denmark";"24 years";"15 - 21 days";14;17;13;14
"Total";"Nature of the offence, total";"All Denmark";"24 years";"22 - 30 days";19;21;23;27
"Total";"Nature of the offence, total";"All Denmark";"24 years";"31 - 60 days";61;39;56;56
"Total";"Nature of the offence, total";"All Denmark";"24 years";">2 - 3 months";38;35;33;39
"Total";"Nature of the offence, total";"All Denmark";"24 years";">3 - 4 months";25;16;22;24
"Total";"Nature of the offence, total";"All Denmark";"24 years";">4 - 6 months";24;34;24;36
"Total";"Nature of the offence, total";"All Denmark";"24 years";">6 - 9 months";21;20;10;15
"Total";"Nature of the offence, total";"All Denmark";"24 years";">9 - 12 months";20;17;15;16
"Total";"Nature of the offence, total";"All Denmark";"24 years";">12 - 15 months";13;10;5;7
"Total";"Nature of the offence, total";"All Denmark";"24 years";">15 - 18 months";6;8;11;5
"Total";"Nature of the offence, total";"All Denmark";"24 years";">18 - 24 months";9;6;6;6
"Total";"Nature of the offence, total";"All Denmark";"24 years";">2- 3 years";14;14;8;5
"Total";"Nature of the offence, total";"All Denmark";"24 years";">3 - 4 years";7;3;7;7
"Total";"Nature of the offence, total";"All Denmark";"24 years";">4 - 5 years";3;2;2;2
"Total";"Nature of the offence, total";"All Denmark";"24 years";">5 - 6 years";6;4;5;2
"Total";"Nature of the offence, total";"All Denmark";"24 years";">6 - 8 years";0;0;4;0
"Total";"Nature of the offence, total";"All Denmark";"24 years";">8 - 12 years";2;3;6;3
"Total";"Nature of the offence, total";"All Denmark";"24 years";">12 year -";2;0;1;1
"Total";"Nature of the offence, total";"All Denmark";"24 years";"Imprisonment for life";0;0;1;0
"Total";"Nature of the offence, total";"All Denmark";"24 years";"Unknown lenght of penalty";1;0;0;0
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";"Up to 14 days";94;63;69;84
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";"15 - 21 days";80;72;83;99
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";"22 - 30 days";145;116;144;134
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";"31 - 60 days";342;264;323;312
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";">2 - 3 months";181;181;199;174
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";">3 - 4 months";133;143;98;103
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";">4 - 6 months";164;158;180;157
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";">6 - 9 months";81;88;95;91
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";">9 - 12 months";87;81;71;79
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";">12 - 15 months";35;45;31;42
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";">15 - 18 months";46;49;27;39
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";">18 - 24 months";46;38;32;56
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";">2- 3 years";76;60;54;63
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";">3 - 4 years";36;21;29;22
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";">4 - 5 years";8;18;17;10
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";">5 - 6 years";7;8;6;12
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";">6 - 8 years";7;12;10;15
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";">8 - 12 years";7;11;6;12
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";">12 year -";3;10;8;4
"Total";"Nature of the offence, total";"All Denmark";"25-29 years";"Imprisonment for life";4;2;9;1
