"offence";"region";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Sexual offenses, total";"Frederikshavn";8;4;5;5;11;13;9;15;8;5;10;15;11;21
"Sexual offenses, total";"Hj�rring";14;3;1;5;6;13;9;14;151;10;13;13;17;28
"Sexual offenses, total";"Jammerbugt";4;6;7;5;1;1;3;15;5;5;14;6;5;4
"Sexual offenses, total";"L�s�";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Sexual offenses, total";"Mariagerfjord";1;4;4;1;3;3;3;3;3;11;3;7;9;3
"Sexual offenses, total";"Mors�";2;2;4;4;0;7;3;0;8;4;8;2;12;6
"Sexual offenses, total";"Rebild";4;0;1;0;2;1;4;2;2;3;5;1;2;7
"Sexual offenses, total";"Thisted";3;1;1;4;4;2;5;2;8;15;4;16;11;7
"Sexual offenses, total";"Vesthimmerlands";6;2;7;3;2;3;7;5;4;7;21;6;7;9
"Sexual offenses, total";"Aalborg";15;33;24;16;27;13;22;56;34;48;55;43;30;118
"Sexual offenses, total";"Unknown municipality";16;30;11;13;14;38;53;70;83;278;584;442;979;415
"Prostitution, etc.";"All Denmark";44;103;35;61;77;36;166;93;67;283;582;418;932;808
"Prostitution, etc.";"Region Hovedstaden";7;39;13;9;12;7;124;21;12;28;37;28;41;241
"Prostitution, etc.";"Copenhagen";3;18;9;4;9;5;3;8;3;6;9;8;10;104
"Prostitution, etc.";"Frederiksberg";0;1;0;0;0;0;0;1;2;1;0;0;0;18
"Prostitution, etc.";"Drag�r";0;0;0;0;0;0;0;0;0;0;0;0;3;2
"Prostitution, etc.";"T�rnby";0;0;1;0;0;0;1;0;1;1;0;0;1;1
"Prostitution, etc.";"Albertslund";0;4;0;0;0;0;1;1;1;1;0;1;1;3
"Prostitution, etc.";"Ballerup";0;4;0;1;0;1;1;1;0;0;0;1;0;21
"Prostitution, etc.";"Br�ndby";0;0;0;1;0;0;0;1;0;0;0;0;0;4
"Prostitution, etc.";"Gentofte";0;3;1;0;0;1;0;0;1;1;4;1;2;4
"Prostitution, etc.";"Gladsaxe";0;1;0;0;0;0;1;1;0;1;0;0;5;5
"Prostitution, etc.";"Glostrup";0;1;1;0;0;0;0;0;2;0;0;0;0;7
"Prostitution, etc.";"Herlev";0;0;0;0;0;0;1;0;0;1;1;0;1;0
"Prostitution, etc.";"Hvidovre";0;0;0;0;1;0;1;1;0;0;1;3;2;7
"Prostitution, etc.";"H�je-Taastrup";0;1;1;1;0;0;3;0;0;1;1;0;4;15
"Prostitution, etc.";"Ish�j";0;1;0;0;1;0;0;0;0;1;2;0;1;8
"Prostitution, etc.";"Lyngby-Taarb�k";0;0;0;0;0;0;0;0;0;1;7;1;1;3
"Prostitution, etc.";"R�dovre";0;0;0;0;0;0;0;3;1;2;0;0;2;4
"Prostitution, etc.";"Vallensb�k";0;0;0;0;0;0;0;0;0;2;0;0;0;2
"Prostitution, etc.";"Aller�d";0;0;0;0;0;0;0;0;0;4;1;0;1;7
"Prostitution, etc.";"Egedal";0;0;0;0;0;0;0;0;0;0;1;2;0;4
"Prostitution, etc.";"Fredensborg";0;0;0;1;1;0;0;0;0;0;1;2;1;7
"Prostitution, etc.";"Frederikssund";0;0;0;0;0;0;0;0;0;0;0;1;0;2
"Prostitution, etc.";"Fures�";1;1;0;0;0;0;9;0;0;0;0;0;1;0
"Prostitution, etc.";"Gribskov";0;1;0;0;0;0;1;0;1;1;6;1;1;2
"Prostitution, etc.";"Halsn�s";0;1;0;0;0;0;0;0;0;1;0;2;2;1
"Prostitution, etc.";"Helsing�r";2;2;0;0;0;0;1;2;0;0;1;2;1;3
"Prostitution, etc.";"Hiller�d";0;0;0;0;0;0;1;1;0;0;0;1;1;0
"Prostitution, etc.";"H�rsholm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Prostitution, etc.";"Rudersdal";0;0;0;0;0;0;100;1;0;1;1;0;0;3
"Prostitution, etc.";"Bornholm";1;0;0;1;0;0;0;0;0;2;1;2;0;4
"Prostitution, etc.";"Christians�";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Prostitution, etc.";"Region Sj�lland";6;11;9;3;10;4;5;19;9;15;15;18;12;116
"Prostitution, etc.";"Greve";0;0;0;1;1;0;0;0;0;0;1;0;1;3
