"country";"offences";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Sri Lanka";"Family relation offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sri Lanka";"Homicide by negligence in traffic accidents";1;2;0;0;0;0;1;0;0;0;1;1;0;0
"Sri Lanka";"Warnings";1;1;2;0;0;0;0;0;0;0;0;0;0;0
"Sri Lanka";"Privacy infringement, defamation";0;1;1;0;0;0;0;0;0;1;1;0;1;4
"Sri Lanka";"Trafic law, total";232;273;274;268;286;271;274;318;279;277;273;352;342;284
"Sri Lanka";"Traffic acc., unspecified";0;0;0;1;1;0;0;1;0;0;0;0;0;0
"Sri Lanka";"Traffic acc. under influence of alcohol";5;3;5;3;2;3;4;4;2;4;3;6;5;3
"Sri Lanka";"Drunken driving";27;28;36;26;38;26;26;21;22;23;24;20;15;16
"Sri Lanka";"Vehicle defect offences";9;16;18;7;5;8;3;3;7;3;9;1;5;2
"Sri Lanka";"Road Traffic Act, other";191;226;215;231;240;234;241;289;248;247;237;325;317;263
"Sri Lanka";"Special laws, total";32;46;66;96;85;82;87;102;104;113;120;93;89;106
"Sri Lanka";"Euphoriants Act";15;23;15;25;18;18;15;18;15;18;28;22;14;17
"Sri Lanka";"Firearms Act";4;3;2;5;4;4;3;2;7;7;5;8;4;4
"Sri Lanka";"Income Tax And Fiscal Acts";1;2;0;0;3;1;4;1;1;4;5;6;6;5
"Sri Lanka";"Other special laws.";2;4;27;45;40;40;48;48;38;47;40;27;26;47
"Sri Lanka";"Health and social security legislation";3;2;3;2;0;3;1;1;0;0;3;5;26;4
"Sri Lanka";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sri Lanka";"Environmental Act";0;0;0;0;1;2;0;0;0;0;0;0;0;0
"Sri Lanka";"Other legislation applying to animals, hunting, etc";1;1;5;7;4;2;1;2;1;3;3;3;1;2
"Sri Lanka";"Employ. and transport legislation, other";1;2;10;2;4;3;7;12;15;15;16;11;6;15
"Sri Lanka";"Companies Act";0;1;0;0;1;0;0;0;0;0;0;0;0;0
"Sri Lanka";"Other legislation applying to the Armed Forces";1;5;0;3;7;5;3;16;20;14;16;6;3;8
"Sri Lanka";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sri Lanka";"Other legislation relating to gambling, licencing, trade";3;3;4;6;3;4;5;2;7;5;4;5;1;2
"Sri Lanka";"Other special laws";1;0;0;1;0;0;0;0;0;0;0;0;2;2
"Syria";"Criminal decisions total";185;216;233;322;349;452;669;1033;1464;1949;2268;2684;2737;2569
"Syria";"Criminal code, total";72;83;80;103;119;136;171;269;354;409;390;440;449;443
"Syria";"Sexual offenses, total";2;0;2;0;3;3;8;9;21;15;17;35;33;37
"Syria";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Syria";"Rape, etc";1;0;0;0;0;0;0;1;7;3;2;7;8;9
"Syria";"Heterosexual offences with children under 12 years";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Syria";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Syria";"Heterosexual offences, other";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Syria";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;2;1;0;2;3;2;2
"Syria";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;3;2;0;0;0;0
"Syria";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Syria";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Syria";"Offences against decency, by  pawing";0;0;0;0;1;1;4;4;6;7;4;10;7;6
"Syria";"Offences against decency, by removing clothes";0;0;1;0;1;1;1;1;1;2;3;0;1;2
"Syria";"Offences against decency, other";0;0;0;0;1;1;2;1;3;1;3;4;2;2
"Syria";"Prostitution, etc.";0;0;0;0;0;0;0;0;0;0;3;11;13;16
"Syria";"Crimes of violence, total";15;17;18;22;27;27;39;64;121;140;138;150;126;123
"Syria";"Assault against public servant while in discharge of his duties";2;4;4;7;7;10;5;17;26;36;29;29;22;32
"Syria";"Disturbance of public order";1;0;0;0;0;0;0;0;0;0;0;1;0;2
"Syria";"Homicide";0;0;0;0;0;0;2;0;1;0;0;0;0;1
"Syria";"Attempted homicide";0;1;0;0;1;0;0;1;2;1;0;0;0;1
"Syria";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Syria";"Common assault";7;6;7;9;10;11;26;37;48;57;65;76;58;46
"Syria";"Grievous assault";2;3;6;3;5;3;3;5;25;34;28;21;20;18
"Syria";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Syria";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Syria";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Syria";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Syria";"Other offences against life and limb";1;0;0;0;0;0;0;0;0;1;0;3;6;1
"Syria";"Offences against personal liberty";0;1;0;0;0;0;0;1;2;3;2;4;0;12
"Syria";"Threats";2;2;1;3;4;3;3;3;17;8;14;16;20;10
"Syria";"Offenses against property, total";52;62;52;71;74;99;119;176;197;237;206;232;257;248
"Syria";"Forgery";5;1;3;1;8;5;9;15;19;15;8;12;10;9
"Syria";"Cheque forgery";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Syria";"Arson";1;1;1;3;0;2;0;2;3;3;11;6;5;1
"Syria";"Burglary (banks, shops, etc.)";1;7;2;1;2;1;2;3;1;1;2;2;4;1
"Syria";"Household burglary";1;0;6;2;6;2;2;0;4;1;1;2;0;0
"Syria";"Burglary (uninhabited buildings)";0;1;1;0;0;0;0;0;0;0;0;0;0;0
"Syria";"Theft from cars, boats, etc.";0;1;0;1;0;0;0;1;1;0;0;0;2;3
"Syria";"Shoplifting, etc.";20;24;18;20;30;46;69;97;116;134;116;120;108;116
"Syria";"Other theft";9;6;8;14;4;13;9;11;10;16;22;14;25;21
"Syria";"Theft of vehicle";0;2;1;0;1;3;4;4;2;6;2;4;8;10
"Syria";"Theft of mopeds";0;1;1;2;0;0;0;0;0;0;0;1;0;0
"Syria";"Theft of bicycles";0;0;0;1;0;1;2;3;5;3;0;4;6;6
"Syria";"Theft of other objects";0;1;1;0;0;3;1;2;3;9;3;4;7;3
"Syria";"Larceny by finding";0;2;0;2;2;2;1;5;2;4;1;4;5;0
"Syria";"Embezzlement";0;0;0;1;1;0;0;0;1;0;0;1;1;3
"Syria";"Fraud";1;4;2;6;2;5;5;18;9;20;14;21;25;25
"Syria";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Syria";"Fraud of agent";0;0;0;0;1;0;0;0;0;0;0;0;0;1
"Syria";"Blackmail and usury";0;0;2;0;1;0;0;0;1;1;1;0;1;2
"Syria";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Syria";"Handling stolen goods";4;3;3;7;2;5;3;3;4;3;3;9;11;9
"Syria";"Robbery";10;4;3;6;8;7;3;4;8;8;5;10;13;9
"Syria";"Gross tax evasion, etc.";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Syria";"Malicious damage to property";0;4;0;3;4;4;5;8;5;13;14;15;22;28
"Syria";"Feloniously receiving stolen goods";0;0;0;1;0;0;0;0;0;0;0;2;0;0
"Syria";"Misappropriations and offences against property";0;0;0;0;2;0;3;0;2;0;3;1;3;1
"Syria";"Other offences, total";7;7;11;18;25;21;13;26;28;37;44;50;51;57
"Syria";"Offences against public authority, etc.";2;2;2;5;8;6;6;6;10;13;15;15;14;18
"Syria";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Syria";"Perjury";0;0;0;0;0;3;1;1;0;0;0;2;2;0
"Syria";"Perjury, other";2;4;5;4;8;5;0;5;5;6;8;10;10;9
"Syria";"Offences concerning money and evidence";1;0;0;3;1;1;4;5;2;7;8;5;6;7
"Syria";"Trafficking of drugs, etc.";0;0;1;1;3;1;1;4;3;4;6;3;8;5
"Syria";"Smuggling, etc. of drugs";1;1;0;1;2;0;0;0;0;2;1;3;0;3
"Syria";"General public offences";0;0;1;0;1;1;0;1;0;3;1;2;1;3
"Syria";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Syria";"Family relation offences";0;0;0;0;0;0;0;0;2;0;1;1;1;0
"Syria";"Homicide by negligence in traffic accidents";0;0;0;0;1;0;0;1;2;0;0;2;2;1
"Syria";"Warnings";0;0;2;0;1;0;0;0;0;0;0;0;0;0
"Syria";"Privacy infringement, defamation";1;0;0;4;0;4;1;3;4;2;4;7;7;11
"Syria";"Trafic law, total";114;125;139;200;217;264;388;602;918;1271;1473;1904;1927;1729
"Syria";"Traffic acc., unspecified";0;0;0;0;0;0;0;1;0;0;0;0;2;1
"Syria";"Traffic acc. under influence of alcohol";0;2;0;0;0;0;1;1;2;3;3;3;4;0
"Syria";"Drunken driving";3;1;2;7;7;10;8;18;13;42;43;55;47;63
"Syria";"Vehicle defect offences";8;7;9;14;5;7;10;12;17;16;36;22;37;25
"Syria";"Road Traffic Act, other";103;115;128;179;205;247;369;570;886;1210;1391;1824;1837;1640
"Syria";"Special laws, total";39;41;58;82;92;134;182;238;319;445;638;642;636;696
"Syria";"Euphoriants Act";21;16;19;23;40;42;65;67;103;119;170;192;192;182
"Syria";"Firearms Act";6;10;5;5;14;10;16;15;26;41;90;55;59;45
"Syria";"Income Tax And Fiscal Acts";0;1;3;5;7;9;6;9;11;22;25;40;43;51
"Syria";"Other special laws.";5;2;12;26;17;46;69;117;104;141;205;198;186;260
"Syria";"Health and social security legislation";1;1;6;4;2;5;3;0;10;15;15;31;87;27
"Syria";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Syria";"Environmental Act";0;1;0;2;3;2;2;5;4;8;10;13;9;15
"Syria";"Other legislation applying to animals, hunting, etc";0;0;2;0;0;0;1;1;2;0;2;8;2;4
"Syria";"Employ. and transport legislation, other";2;4;4;8;4;7;2;5;40;67;96;89;50;88
"Syria";"Companies Act";0;0;0;0;0;0;0;1;0;0;0;1;3;4
"Syria";"Other legislation applying to the Armed Forces";1;4;2;3;2;8;9;9;14;20;11;10;0;8
"Syria";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Syria";"Other legislation relating to gambling, licencing, trade";3;2;4;6;3;5;9;9;4;12;12;5;5;12
"Syria";"Other special laws";0;0;1;0;0;0;0;0;1;0;2;0;0;0
"Thailand";"Criminal decisions total";168;150;211;201;190;218;217;220;220;223;288;273;312;277
"Thailand";"Criminal code, total";42;44;62;56;42;52;45;48;41;51;55;42;63;44
"Thailand";"Sexual offenses, total";2;2;4;2;3;2;2;1;2;0;3;2;2;5
"Thailand";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Rape, etc";0;0;0;0;1;0;0;0;0;0;1;0;0;0
"Thailand";"Heterosexual offences with children under 12 years";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Thailand";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Heterosexual offences, other";0;0;2;1;0;1;0;0;0;0;0;0;0;0
"Thailand";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Thailand";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Offences against decency, by  pawing";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Thailand";"Offences against decency, by removing clothes";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Offences against decency, other";0;0;0;0;0;0;0;0;0;0;1;0;0;1
"Thailand";"Prostitution, etc.";2;2;2;1;1;1;2;1;1;0;1;2;1;4
"Thailand";"Crimes of violence, total";15;13;14;8;10;10;10;14;12;17;14;12;23;7
"Thailand";"Assault against public servant while in discharge of his duties";0;0;1;2;2;0;3;5;2;2;3;0;5;1
"Thailand";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Thailand";"Homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Attempted homicide";1;0;0;0;0;0;0;0;0;0;0;1;1;0
"Thailand";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Common assault";11;9;10;3;6;4;6;6;8;13;5;7;11;5
"Thailand";"Grievous assault";3;3;2;2;2;2;0;1;1;2;5;2;3;1
"Thailand";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Other offences against life and limb";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Thailand";"Offences against personal liberty";0;0;1;1;0;0;0;1;1;0;0;0;0;0
"Thailand";"Threats";0;1;0;0;0;4;1;1;0;0;1;2;1;0
"Thailand";"Offenses against property, total";25;29;42;41;25;37;32;31;25;29;36;26;33;22
"Thailand";"Forgery";0;2;2;3;1;2;2;0;0;0;1;0;4;1
"Thailand";"Cheque forgery";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Arson";0;0;0;0;0;1;2;1;0;0;1;0;0;0
"Thailand";"Burglary (banks, shops, etc.)";0;1;3;0;0;0;0;0;0;1;0;2;0;0
"Thailand";"Household burglary";1;4;5;0;0;2;0;2;0;1;0;1;0;0
"Thailand";"Burglary (uninhabited buildings)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Theft from cars, boats, etc.";0;1;0;0;0;0;0;0;1;1;0;0;0;1
"Thailand";"Shoplifting, etc.";15;11;23;25;12;13;15;14;12;16;18;12;14;9
"Thailand";"Other theft";0;4;0;4;1;3;0;3;3;4;5;0;3;3
"Thailand";"Theft of vehicle";1;0;0;0;2;1;1;0;1;1;1;1;0;0
"Thailand";"Theft of mopeds";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Theft of bicycles";0;1;0;0;0;1;0;1;0;0;0;0;1;0
"Thailand";"Theft of other objects";0;0;0;0;0;1;0;0;0;0;1;0;1;0
"Thailand";"Larceny by finding";0;0;0;1;2;0;2;0;0;0;1;0;1;0
"Thailand";"Embezzlement";0;0;0;1;0;1;0;0;0;0;0;0;0;0
"Thailand";"Fraud";3;0;4;3;0;6;6;4;7;2;4;5;4;6
"Thailand";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Fraud of agent";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Blackmail and usury";0;0;1;0;0;0;0;0;0;0;1;0;1;0
"Thailand";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Handling stolen goods";0;0;2;1;2;3;0;2;0;0;0;1;3;1
"Thailand";"Robbery";2;0;1;1;1;0;0;0;1;0;0;3;0;0
"Thailand";"Gross tax evasion, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Malicious damage to property";3;4;1;2;4;3;1;3;0;1;3;1;1;1
"Thailand";"Feloniously receiving stolen goods";0;0;0;0;0;0;2;0;0;0;0;0;0;0
"Thailand";"Misappropriations and offences against property";0;0;0;0;0;0;1;1;0;2;0;0;0;0
"Thailand";"Other offences, total";1;2;7;6;4;6;1;3;3;6;3;4;8;11
"Thailand";"Offences against public authority, etc.";0;0;3;2;0;0;0;2;0;1;1;1;2;3
"Thailand";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Perjury";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Thailand";"Perjury, other";0;1;3;2;0;0;0;0;3;3;1;1;0;0
"Thailand";"Offences concerning money and evidence";0;1;1;0;1;0;0;1;0;0;0;1;0;0
"Thailand";"Trafficking of drugs, etc.";1;0;0;0;2;4;0;0;0;0;0;0;2;7
"Thailand";"Smuggling, etc. of drugs";0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Thailand";"General public offences";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Thailand";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Family relation offences";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Thailand";"Homicide by negligence in traffic accidents";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Thailand";"Warnings";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Thailand";"Privacy infringement, defamation";0;0;0;1;0;1;0;0;0;1;1;1;3;0
"Thailand";"Trafic law, total";106;86;117;116;110;119;114;121;119;103;129;163;184;157
"Thailand";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Traffic acc. under influence of alcohol";2;1;0;0;1;0;0;1;1;1;1;3;0;0
"Thailand";"Drunken driving";6;6;12;4;8;13;10;11;9;6;7;8;9;10
"Thailand";"Vehicle defect offences";2;4;8;5;5;5;5;1;1;1;1;7;4;5
"Thailand";"Road Traffic Act, other";96;75;97;107;96;101;99;108;108;95;120;145;171;142
"Thailand";"Special laws, total";30;27;36;40;45;59;67;62;65;79;119;75;88;88
"Thailand";"Euphoriants Act";16;14;7;14;17;19;19;8;12;14;21;22;21;14
"Thailand";"Firearms Act";5;4;2;2;4;2;2;5;2;4;11;5;5;4
"Thailand";"Income Tax And Fiscal Acts";1;0;1;1;1;0;2;3;0;2;3;1;4;1
"Thailand";"Other special laws.";5;1;14;15;16;26;31;28;31;37;53;34;38;53
"Thailand";"Health and social security legislation";1;1;4;0;0;2;2;0;0;4;2;1;17;4
"Thailand";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Environmental Act";0;1;1;1;3;0;3;4;1;4;1;0;1;3
"Thailand";"Other legislation applying to animals, hunting, etc";1;4;3;1;0;3;1;3;0;1;2;1;0;0
"Thailand";"Employ. and transport legislation, other";0;1;2;1;1;1;5;9;15;12;21;7;1;5
"Thailand";"Companies Act";0;0;0;0;0;0;0;0;0;0;1;2;0;0
"Thailand";"Other legislation applying to the Armed Forces";0;0;0;0;0;2;1;1;4;1;1;1;0;3
"Thailand";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Thailand";"Other legislation relating to gambling, licencing, trade";1;1;2;4;3;4;1;1;0;0;3;1;1;0
"Thailand";"Other special laws";0;0;0;1;0;0;0;0;0;0;0;0;0;1
"Vietnam";"Criminal decisions total";405;419;414;445;414;430;379;408;400;408;408;456;422;414
"Vietnam";"Criminal code, total";159;175;151;158;151;124;114;119;97;103;91;88;79;78
"Vietnam";"Sexual offenses, total";0;0;3;4;0;1;2;3;1;1;2;2;4;2
"Vietnam";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Rape, etc";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Vietnam";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Vietnam";"Heterosexual offences, other";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Vietnam";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Offences against decency, by  pawing";0;0;1;0;0;0;1;0;0;0;1;0;0;0
"Vietnam";"Offences against decency, by removing clothes";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Vietnam";"Offences against decency, other";0;0;1;1;0;1;0;1;1;1;1;1;1;2
"Vietnam";"Prostitution, etc.";0;0;0;3;0;0;0;0;0;0;0;1;2;0
"Vietnam";"Crimes of violence, total";16;27;24;19;14;14;18;17;22;21;24;17;11;11
"Vietnam";"Assault against public servant while in discharge of his duties";1;1;3;3;1;2;1;2;7;4;5;3;4;5
"Vietnam";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Vietnam";"Homicide";0;2;0;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Attempted homicide";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Vietnam";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Vietnam";"Common assault";12;17;15;14;11;4;14;13;13;9;14;13;5;3
"Vietnam";"Grievous assault";3;4;4;0;1;4;2;1;2;4;4;1;1;0
"Vietnam";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Vietnam";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Other offences against life and limb";0;1;0;0;0;0;0;0;0;0;0;0;0;1
"Vietnam";"Offences against personal liberty";0;1;0;0;0;0;1;0;0;2;0;0;0;0
"Vietnam";"Threats";0;1;2;2;1;3;0;1;0;2;0;0;1;0
"Vietnam";"Offenses against property, total";133;133;120;122;112;94;85;86;64;73;59;65;52;55
"Vietnam";"Forgery";4;1;2;1;1;2;3;0;0;2;2;0;0;1
"Vietnam";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Arson";0;1;1;1;0;0;1;0;0;1;0;1;0;1
"Vietnam";"Burglary (banks, shops, etc.)";6;4;3;3;3;0;0;5;2;0;0;1;0;0
"Vietnam";"Household burglary";0;0;4;1;0;1;1;1;0;1;0;0;0;0
"Vietnam";"Burglary (uninhabited buildings)";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Vietnam";"Theft from cars, boats, etc.";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Vietnam";"Shoplifting, etc.";98;91;94;92;73;65;62;56;45;51;39;43;34;36
"Vietnam";"Other theft";6;13;4;7;14;1;4;7;4;6;7;3;5;7
"Vietnam";"Theft of vehicle";0;0;1;0;0;0;0;0;2;0;1;2;0;0
"Vietnam";"Theft of mopeds";0;2;0;0;0;1;0;0;0;0;0;0;0;0
"Vietnam";"Theft of bicycles";1;0;1;0;1;0;0;2;0;0;0;0;0;1
"Vietnam";"Theft of other objects";2;1;0;0;0;1;1;0;0;1;0;0;0;0
"Vietnam";"Larceny by finding";0;0;1;2;0;1;0;2;1;0;2;0;1;2
"Vietnam";"Embezzlement";3;3;0;0;1;0;0;0;0;0;1;0;0;1
"Vietnam";"Fraud";3;8;1;8;5;12;8;10;6;7;5;6;6;2
"Vietnam";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Fraud of agent";0;0;1;1;0;0;0;1;1;0;0;1;0;0
"Vietnam";"Blackmail and usury";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Vietnam";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Handling stolen goods";4;4;3;4;4;6;2;0;0;1;0;2;1;2
"Vietnam";"Robbery";3;2;1;0;5;1;1;1;1;0;1;2;1;0
"Vietnam";"Gross tax evasion, etc.";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Vietnam";"Malicious damage to property";3;3;3;2;4;0;2;0;1;2;1;1;3;1
"Vietnam";"Feloniously receiving stolen goods";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Vietnam";"Misappropriations and offences against property";0;0;0;0;0;1;0;1;1;0;0;3;0;1
"Vietnam";"Other offences, total";12;16;9;18;30;21;11;14;13;9;8;4;13;13
"Vietnam";"Offences against public authority, etc.";1;3;2;0;0;5;3;0;4;5;4;1;2;2
"Vietnam";"Offences by public servants";0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Vietnam";"Perjury";0;0;0;1;0;0;0;1;0;0;0;0;0;0
"Vietnam";"Perjury, other";1;2;2;5;3;2;0;3;0;2;1;0;1;1
"Vietnam";"Offences concerning money and evidence";0;2;0;2;1;0;0;1;1;0;0;0;0;1
"Vietnam";"Trafficking of drugs, etc.";5;5;1;4;15;14;7;8;5;0;2;2;2;5
"Vietnam";"Smuggling, etc. of drugs";4;2;3;3;4;0;0;0;2;0;0;0;6;1
"Vietnam";"General public offences";1;0;0;1;0;0;0;0;1;1;0;1;0;0
"Vietnam";"Illegal trade, etc.";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Family relation offences";0;0;0;0;0;0;0;0;0;0;0;0;2;0
"Vietnam";"Homicide by negligence in traffic accidents";0;0;1;0;1;0;1;0;0;0;0;0;0;1
"Vietnam";"Warnings";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Vietnam";"Privacy infringement, defamation";0;2;0;1;5;0;0;0;0;1;1;0;0;2
"Vietnam";"Trafic law, total";215;216;214;254;223;254;216;216;234;211;220;308;269;232
"Vietnam";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Traffic acc. under influence of alcohol";5;1;2;0;2;3;2;3;1;2;4;3;1;2
"Vietnam";"Drunken driving";14;19;29;21;20;20;13;11;15;20;5;7;12;13
"Vietnam";"Vehicle defect offences";13;4;8;13;6;8;0;1;2;2;2;7;3;4
"Vietnam";"Road Traffic Act, other";183;192;175;220;195;223;201;201;216;187;209;291;253;213
"Vietnam";"Special laws, total";50;44;77;66;70;84;64;96;88;121;114;88;88;126
"Vietnam";"Euphoriants Act";29;20;25;25;26;28;17;20;16;33;22;30;18;19
"Vietnam";"Firearms Act";5;6;3;1;4;3;4;3;5;10;11;6;3;8
"Vietnam";"Income Tax And Fiscal Acts";0;0;6;3;7;2;4;3;3;3;4;2;6;3
"Vietnam";"Other special laws.";2;5;17;21;16;30;32;49;28;34;33;20;42;53
"Vietnam";"Health and social security legislation";6;4;5;5;3;3;0;0;2;1;7;11;14;9
"Vietnam";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Environmental Act";1;1;1;3;0;0;1;0;1;0;0;4;1;6
"Vietnam";"Other legislation applying to animals, hunting, etc";3;1;7;1;3;3;2;2;1;4;4;0;0;4
"Vietnam";"Employ. and transport legislation, other";1;2;3;4;1;4;2;9;9;21;22;10;1;5
"Vietnam";"Companies Act";0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Vietnam";"Other legislation applying to the Armed Forces";1;0;3;0;3;4;0;9;16;12;7;2;1;15
"Vietnam";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vietnam";"Other legislation relating to gambling, licencing, trade";2;5;7;2;7;6;2;1;7;3;3;2;2;1
"Vietnam";"Other special laws";0;0;0;1;0;1;0;0;0;0;1;0;0;2
"Australia";"Criminal decisions total";19;17;24;24;24;24;28;34;28;23;33;37;22;37
"Australia";"Criminal code, total";3;0;2;2;1;3;6;5;7;3;4;1;2;2
