"Persons guilty in crimes by type of offence, region and time"

" "," ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
" ","Greve",0,0,0,0,0,0,0,0,0,0
" ","Køge",1,1,0,0,0,0,0,0,0,0
" ","Lejre",1,0,0,0,0,0,0,0,0,0
" ","Roskilde",1,1,0,0,0,0,0,0,0,0
" ","Solrød",0,0,0,0,0,0,0,0,0,0
" ","Faxe",0,0,0,0,0,0,0,0,0,0
" ","Guldborgsund",4,2,0,0,1,0,0,0,0,0
" ","Holbæk",1,0,0,0,0,0,0,0,0,0
" ","Kalundborg",0,0,0,0,0,0,0,0,0,0
" ","Lolland",1,0,0,0,0,0,0,0,0,0
" ","Næstved",0,0,0,0,0,0,0,0,0,0
" ","Odsherred",0,0,0,0,0,0,0,0,0,0
" ","Ringsted",0,0,0,0,0,0,0,0,0,0
" ","Slagelse",1,1,0,0,0,0,0,0,0,0
" ","Sorø",0,1,0,0,0,0,0,0,0,0
" ","Stevns",1,0,0,0,0,0,0,0,0,0
" ","Vordingborg",1,1,0,0,0,0,0,0,0,0
" ","Region Syddanmark",27,15,0,0,0,0,0,0,0,0
" ","Assens",1,0,0,0,0,0,0,0,0,0
" ","Faaborg-Midtfyn",1,0,0,0,0,0,0,0,0,0
" ","Kerteminde",1,1,0,0,0,0,0,0,0,0
" ","Langeland",0,0,0,0,0,0,0,0,0,0
" ","Middelfart",0,0,0,0,0,0,0,0,0,0
" ","Nordfyns",0,1,0,0,0,0,0,0,0,0
" ","Nyborg",1,2,0,0,0,0,0,0,0,0
" ","Odense",6,2,0,0,0,0,0,0,0,0
" ","Svendborg",0,0,0,0,0,0,0,0,0,0
" ","Ærø",1,1,0,0,0,0,0,0,0,0
" ","Billund",0,0,0,0,0,0,0,0,0,0
" ","Esbjerg",3,2,0,0,0,0,0,0,0,0
" ","Fanø",0,0,0,0,0,0,0,0,0,0
" ","Fredericia",0,2,0,0,0,0,0,0,0,0
" ","Haderslev",2,2,0,0,0,0,0,0,0,0
" ","Kolding",4,0,0,0,0,0,0,0,0,0
" ","Sønderborg",1,0,0,0,0,0,0,0,0,0
" ","Tønder",0,0,0,0,0,0,0,0,0,0
" ","Varde",2,0,0,0,0,0,0,0,0,0
" ","Vejen",2,1,0,0,0,0,0,0,0,0
" ","Vejle",0,0,0,0,0,0,0,0,0,0
" ","Aabenraa",2,1,0,0,0,0,0,0,0,0
" ","Region Midtjylland",23,17,0,1,1,0,0,0,0,0
" ","Favrskov",1,0,0,0,0,0,0,0,0,0
" ","Hedensted",0,0,0,0,0,0,0,0,0,0
" ","Horsens",1,0,0,0,0,0,0,0,0,0
" ","Norddjurs",0,1,0,0,0,0,0,0,0,0
" ","Odder",0,0,0,0,0,0,0,0,0,0
" ","Randers",2,1,0,1,0,0,0,0,0,0
" ","Samsø",0,0,0,0,0,0,0,0,0,0
" ","Silkeborg",1,1,0,0,0,0,0,0,0,0
" ","Skanderborg",0,1,0,0,0,0,0,0,0,0
" ","Syddjurs",0,0,0,0,0,0,0,0,0,0
" ","Aarhus",7,6,0,0,1,0,0,0,0,0
" ","Herning",1,2,0,0,0,0,0,0,0,0
" ","Holstebro",4,1,0,0,0,0,0,0,0,0
" ","Ikast-Brande",0,0,0,0,0,0,0,0,0,0
" ","Lemvig",1,1,0,0,0,0,0,0,0,0
" ","Ringkøbing-Skjern",1,1,0,0,0,0,0,0,0,0
" ","Skive",1,0,0,0,0,0,0,0,0,0
" ","Struer",1,0,0,0,0,0,0,0,0,0
" ","Viborg",2,2,0,0,0,0,0,0,0,0
" ","Region Nordjylland",7,8,0,0,0,0,0,0,0,0
" ","Brønderslev",0,0,0,0,0,0,0,0,0,0
" ","Frederikshavn",2,0,0,0,0,0,0,0,0,0
" ","Hjørring",0,2,0,0,0,0,0,0,0,0
" ","Jammerbugt",1,0,0,0,0,0,0,0,0,0
" ","Læsø",0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",0,0,0,0,0,0,0,0,0,0
" ","Morsø",0,2,0,0,0,0,0,0,0,0
" ","Rebild",1,0,0,0,0,0,0,0,0,0
" ","Thisted",0,1,0,0,0,0,0,0,0,0
" ","Vesthimmerlands",1,0,0,0,0,0,0,0,0,0
" ","Aalborg",2,3,0,0,0,0,0,0,0,0
"Privacy infringement, defamation"
" ","All Denmark",343,348,360,336,305,257,391,473,470,491
" ","Region Hovedstaden",144,151,112,89,99,84,174,182,196,169
" ","Copenhagen",73,86,49,28,38,42,69,102,79,81
" ","Frederiksberg",5,10,1,10,5,4,4,9,9,7
" ","Dragør",1,0,1,0,1,0,0,0,0,4
" ","Tårnby",0,2,2,2,5,0,1,3,3,2
" ","Albertslund",1,0,10,2,3,0,12,2,4,3
" ","Ballerup",2,6,0,1,3,2,4,1,2,1
" ","Brøndby",3,5,1,1,5,1,4,5,10,4
" ","Gentofte",8,4,1,2,2,1,0,5,6,4
" ","Gladsaxe",1,3,4,4,1,2,5,4,7,3
" ","Glostrup",0,2,0,5,0,2,4,2,4,3
" ","Herlev",2,1,0,1,3,2,6,5,11,3
" ","Hvidovre",4,1,9,9,5,4,5,3,6,6
" ","Høje-Taastrup",2,2,2,2,3,3,9,1,8,13
" ","Ishøj",2,1,1,0,1,3,2,0,0,3
" ","Lyngby-Taarbæk",2,3,2,0,5,0,5,4,3,2
" ","Rødovre",6,5,1,2,0,0,7,4,3,4
" ","Vallensbæk",0,0,1,1,0,0,4,0,0,0
" ","Allerød",2,1,1,1,0,0,1,0,1,0
" ","Egedal",3,1,0,0,1,1,2,3,6,1
" ","Fredensborg",3,2,3,2,0,1,0,0,3,2
" ","Frederikssund",3,3,0,2,1,1,2,3,1,1
" ","Furesø",1,1,2,0,1,1,1,1,1,7
" ","Gribskov",3,2,1,4,3,2,5,2,5,2
" ","Halsnæs",1,1,5,2,0,3,0,2,2,3
" ","Helsingør",7,2,9,4,5,3,8,11,7,4
" ","Hillerød",3,3,2,3,3,2,3,3,7,2
" ","Hørsholm",3,0,0,0,1,1,0,0,1,1
" ","Rudersdal",2,1,2,0,3,0,7,1,3,0
" ","Bornholm",1,3,2,1,1,3,4,6,4,3
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",52,27,60,59,52,40,59,57,63,77
" ","Greve",8,1,1,9,4,3,2,1,1,2
" ","Køge",8,2,3,3,3,1,2,2,1,8
" ","Lejre",2,0,2,2,1,0,4,1,2,2
" ","Roskilde",7,3,3,5,10,2,2,5,7,7
" ","Solrød",2,0,0,0,1,0,1,0,1,2
" ","Faxe",0,1,8,1,0,0,3,0,3,2
" ","Guldborgsund",2,1,7,6,5,5,5,6,6,4
" ","Holbæk",3,2,1,3,1,3,1,9,9,9
" ","Kalundborg",2,2,2,2,2,4,4,6,1,2
" ","Lolland",2,1,5,5,1,4,4,4,5,3
" ","Næstved",4,5,4,7,5,3,8,5,9,6
" ","Odsherred",1,0,2,0,1,2,2,4,0,2
" ","Ringsted",1,3,1,2,4,2,2,3,0,6
" ","Slagelse",6,4,14,9,7,7,11,5,8,16
" ","Sorø",1,1,1,0,3,1,2,1,1,0
" ","Stevns",0,0,0,2,1,0,3,1,3,0
" ","Vordingborg",3,1,6,3,3,3,3,4,6,6
" ","Region Syddanmark",60,74,80,83,65,62,66,116,70,112
" ","Assens",0,1,3,2,3,1,0,4,4,10
" ","Faaborg-Midtfyn",1,4,0,3,1,3,4,4,1,2
" ","Kerteminde",3,0,0,1,0,0,0,1,1,1
" ","Langeland",0,2,0,0,1,0,1,5,0,0
" ","Middelfart",2,1,3,3,0,3,1,0,0,5
" ","Nordfyns",2,0,2,7,2,2,4,2,0,0
" ","Nyborg",0,1,2,2,1,1,0,4,1,2
" ","Odense",12,11,17,19,11,9,10,13,10,24
" ","Svendborg",2,3,2,4,2,8,4,9,6,3
" ","Ærø",0,1,0,0,0,0,1,0,0,0
" ","Billund",0,0,0,1,1,1,0,1,2,6
" ","Esbjerg",6,6,5,6,11,5,10,20,6,6
" ","Fanø",0,0,0,0,0,0,0,1,0,0
" ","Fredericia",4,7,4,2,0,1,2,4,4,6
" ","Haderslev",3,3,3,2,5,8,2,6,8,7
" ","Kolding",2,5,10,3,2,6,3,9,5,9
" ","Sønderborg",2,7,4,7,2,5,5,6,1,5
" ","Tønder",3,6,2,0,10,3,0,7,5,2
" ","Varde",3,4,8,2,4,1,4,6,3,4
" ","Vejen",2,3,4,2,4,1,3,1,1,3
" ","Vejle",11,5,6,4,3,1,6,7,6,10
" ","Aabenraa",2,4,5,13,2,3,6,6,6,7
" ","Region Midtjylland",57,67,72,61,61,48,57,85,96,95
" ","Favrskov",0,0,3,2,0,0,0,1,4,2
" ","Hedensted",1,2,2,1,0,3,5,1,3,2
" ","Horsens",6,3,6,1,1,3,9,1,5,6
" ","Norddjurs",1,2,5,3,4,3,0,6,2,5
" ","Odder",0,0,0,0,1,0,0,2,1,0
" ","Randers",5,5,4,7,5,6,4,3,17,14
" ","Samsø",0,0,0,0,0,0,1,2,0,0
" ","Silkeborg",3,3,10,4,5,4,3,3,10,7
" ","Skanderborg",1,1,0,1,2,0,2,0,1,1
" ","Syddjurs",2,2,0,0,6,2,3,3,4,1
" ","Aarhus",19,30,27,26,19,11,8,22,17,21
" ","Herning",6,6,3,3,8,1,7,11,7,10
" ","Holstebro",3,4,2,4,3,4,6,16,12,4
" ","Ikast-Brande",1,3,1,2,2,1,1,2,5,4
" ","Lemvig",0,1,0,0,0,0,1,3,3,2
" ","Ringkøbing-Skjern",0,0,2,1,0,3,2,2,2,2
" ","Skive",5,2,3,3,3,3,1,4,0,5
" ","Struer",0,1,0,2,0,1,1,1,1,1
" ","Viborg",4,2,4,1,2,3,3,2,2,8
" ","Region Nordjylland",30,29,36,44,28,23,35,33,45,38
" ","Brønderslev",1,1,2,1,4,1,1,3,3,2
" ","Frederikshavn",2,3,1,3,2,2,2,1,5,1
" ","Hjørring",6,5,3,11,2,5,2,2,7,5
" ","Jammerbugt",2,1,3,7,5,1,3,2,3,0
" ","Læsø",0,0,0,0,0,0,0,0,0,1
" ","Mariagerfjord",3,4,1,1,1,0,3,1,2,5
" ","Morsø",1,0,1,1,1,0,2,1,1,0
" ","Rebild",0,0,2,0,2,0,2,1,3,5
" ","Thisted",4,3,0,1,3,2,3,3,4,2
" ","Vesthimmerlands",7,1,1,0,3,4,6,2,3,0
" ","Aalborg",4,11,22,19,5,8,11,17,14,17
"Trafic law, total"
" ","All Denmark",108569,105758,101245,98963,93819,90320,96416,123924,118694,102598
" ","Region Hovedstaden",32305,34265,31670,27208,25563,26214,29112,36392,35037,32552
" ","Copenhagen",8794,9043,9092,7723,7402,7527,8280,11297,10783,9800
" ","Frederiksberg",1380,1305,1398,1216,1162,1094,1151,1469,1363,1245
" ","Dragør",245,321,289,218,189,168,241,517,368,411
" ","Tårnby",749,737,694,613,519,514,609,978,838,784
" ","Albertslund",705,738,630,512,576,547,600,765,781,779
" ","Ballerup",921,937,816,673,630,672,760,901,918,843
" ","Brøndby",838,839,869,679,682,783,848,1077,1087,1043
" ","Gentofte",1508,1404,1403,1345,1179,1204,1162,1413,1414,1477
" ","Gladsaxe",1215,1260,1254,1006,1105,1011,1197,1366,1459,1238
" ","Glostrup",438,440,454,354,368,395,411,578,546,508
" ","Herlev",481,552,480,399,422,472,472,576,612,568
" ","Hvidovre",1190,1208,960,802,795,774,858,1150,1093,1012
" ","Høje-Taastrup",1100,1282,1315,1000,1000,980,1212,1484,1468,1324
" ","Ishøj",601,729,720,540,536,588,595,825,784,726
" ","Lyngby-Taarbæk",809,813,1085,786,631,612,714,832,880,905
" ","Rødovre",699,660,662,524,590,608,702,925,811,794
" ","Vallensbæk",330,360,330,278,340,290,363,461,435,427
" ","Allerød",446,409,390,355,288,369,386,335,372,276
" ","Egedal",896,932,789,683,576,611,839,837,755,704
" ","Fredensborg",998,957,830,800,633,653,738,844,803,801
" ","Frederikssund",992,1046,764,744,679,793,1065,1022,937,893
" ","Furesø",736,737,647,568,570,503,670,621,659,574
" ","Gribskov",854,1553,845,837,838,802,929,1109,874,868
" ","Halsnæs",779,779,590,522,496,558,612,751,851,663
" ","Helsingør",1228,1510,1147,1171,1074,1173,1090,1339,1200,1119
" ","Hillerød",1092,1311,833,730,686,781,795,939,931,914
" ","Hørsholm",571,566,476,476,378,427,403,461,474,463
" ","Rudersdal",1210,1337,1464,1212,845,841,924,1017,1007,1019
" ","Bornholm",500,500,444,442,374,462,485,503,534,374
" ","Christiansø",0,0,0,0,0,2,1,0,0,0
" ","Region Sjælland",19410,18645,16021,15810,14281,14359,14843,19693,18712,16318
" ","Greve",1139,1408,1265,884,770,858,1105,1314,1255,1059
" ","Køge",1270,1436,1215,1177,1037,965,1092,1552,1479,1276
" ","Lejre",635,552,452,459,373,337,388,487,493,444
" ","Roskilde",1508,1482,1519,1436,1183,1158,1183,1655,1496,1208
" ","Solrød",475,498,478,351,383,321,373,538,490,448
" ","Faxe",1102,996,826,953,916,823,936,1130,1072,921
" ","Guldborgsund",1810,1414,1178,1161,1100,1211,1061,1342,1283,1126
" ","Holbæk",1474,1404,1415,1113,1045,922,1058,1510,1462,1339
" ","Kalundborg",1143,1058,959,804,733,777,806,1067,1025,972
" ","Lolland",1235,1145,846,906,905,944,870,1051,837,811
" ","Næstved",1903,1863,1430,1952,1558,1648,1475,2172,2013,1664
" ","Odsherred",652,648,574,505,417,456,505,653,624,586
" ","Ringsted",785,705,593,549,550,542,624,782,825,765
" ","Slagelse",1697,1697,1328,1388,1235,1380,1387,1844,1660,1405
" ","Sorø",697,739,596,606,556,629,601,720,709,610
" ","Stevns",577,580,478,510,461,382,479,620,613,543
" ","Vordingborg",1308,1020,869,1056,1059,1006,900,1256,1376,1141
" ","Region Syddanmark",25539,22305,22953,21637,21110,19573,20014,25812,23516,20404
" ","Assens",805,845,830,588,880,812,698,933,817,762
" ","Faaborg-Midtfyn",1094,921,892,869,826,821,803,1050,896,809
" ","Kerteminde",531,424,404,336,342,312,283,497,447,365
" ","Langeland",191,178,144,171,222,209,161,235,210,169
" ","Middelfart",747,689,773,630,831,711,656,803,700,638
" ","Nordfyns",604,615,591,657,575,643,589,652,682,596
" ","Nyborg",677,405,490,490,410,395,386,629,562,539
" ","Odense",4093,3689,3858,3206,2810,3005,3061,4136,3744,2938
" ","Svendborg",1009,845,818,634,830,797,777,1073,853,836
" ","Ærø",49,51,75,38,90,71,57,52,61,36
" ","Billund",594,547,607,751,520,432,546,650,651,464
" ","Esbjerg",2354,2144,2247,1862,1894,1564,1572,2090,1961,1542
" ","Fanø",28,35,30,22,29,21,31,31,22,17
" ","Fredericia",1049,939,902,1050,1092,897,1019,1285,1023,870
" ","Haderslev",1419,1350,1221,1059,933,987,1041,1223,1174,1017
" ","Kolding",2006,1847,1950,2255,1595,1524,1666,2118,1793,1675
" ","Sønderborg",1271,1014,1147,931,974,1051,1093,1255,1323,1364
" ","Tønder",807,716,811,745,710,705,725,1003,957,847
" ","Varde",1106,860,877,876,936,812,920,1070,989,831
" ","Vejen",994,799,883,903,928,754,772,977,1013,810
" ","Vejle",2788,2303,2378,2551,2811,2128,2072,2654,2348,2064
" ","Aabenraa",1323,1089,1025,1013,872,922,1086,1396,1290,1215
" ","Region Midtjylland",21831,20984,21760,24925,22345,20212,23087,29059,28061,22364
" ","Favrskov",726,693,704,907,836,671,718,885,886,680
" ","Hedensted",1142,1033,961,1222,1042,1001,994,1187,1087,1010
" ","Horsens",1679,1538,1572,1669,1646,1471,1595,1863,1986,1627
" ","Norddjurs",614,628,628,748,690,647,736,837,694,631
" ","Odder",329,356,355,415,350,280,295,423,362,258
" ","Randers",1714,1665,1679,1728,1814,1319,1557,2283,2209,1872
" ","Samsø",41,43,37,37,52,31,42,47,49,38
" ","Silkeborg",1506,1535,1586,1936,1819,1643,1825,2476,2183,1637
" ","Skanderborg",1053,928,1065,1064,1050,865,1114,1104,1022,779
" ","Syddjurs",663,657,646,751,661,748,748,886,906,751
" ","Aarhus",4721,4534,4727,5280,4473,4086,5122,6283,6388,4784
" ","Herning",1495,1533,1555,1881,1648,1568,1624,2161,1960,1670
" ","Holstebro",965,885,957,1057,956,1020,1092,1485,1441,1279
" ","Ikast-Brande",823,819,1089,1143,921,808,930,1163,994,941
" ","Lemvig",406,344,401,381,385,402,449,535,496,367
" ","Ringkøbing-Skjern",1037,929,1050,1190,1030,1001,1082,1431,1294,959
" ","Skive",858,792,766,952,913,804,965,1168,1225,905
" ","Struer",341,306,377,371,321,358,414,545,541,421
" ","Viborg",1718,1766,1605,2193,1738,1489,1785,2297,2338,1755
" ","Region Nordjylland",9484,9559,8841,9383,10520,9962,9360,12968,13368,10960
" ","Brønderslev",609,623,502,534,584,632,550,819,831,638
" ","Frederikshavn",1159,868,747,926,893,860,843,1111,1110,818
" ","Hjørring",1166,1083,764,775,1067,831,1111,1434,1226,962
" ","Jammerbugt",650,797,668,711,767,648,622,884,959,743
" ","Læsø",12,9,16,21,18,9,13,19,13,18
" ","Mariagerfjord",796,732,688,663,925,796,671,1005,1123,963
" ","Morsø",355,291,304,368,427,489,490,622,562,494
" ","Rebild",448,498,473,452,563,541,459,622,654,609
" ","Thisted",584,555,709,906,994,1185,1134,1400,1404,1136
" ","Vesthimmerlands",570,707,555,676,725,702,651,847,904,844
" ","Aalborg",3135,3396,3415,3351,3557,3269,2816,4205,4582,3735
"Traffic acc., unspecified"
" ","All Denmark",42,43,21,48,23,22,10,23,29,29
" ","Region Hovedstaden",7,7,4,4,1,4,1,2,4,5
" ","Copenhagen",0,1,1,1,0,0,0,0,0,0
" ","Frederiksberg",0,0,0,0,0,0,0,0,0,0
" ","Dragør",0,0,0,0,0,0,0,0,0,0
" ","Tårnby",0,0,0,1,0,0,0,0,0,0
" ","Albertslund",0,0,0,0,0,0,0,0,0,1
" ","Ballerup",0,0,0,0,0,0,0,0,1,0
" ","Brøndby",0,0,0,0,0,1,0,0,0,0
" ","Gentofte",0,0,0,0,0,0,0,0,0,0
" ","Gladsaxe",0,0,0,0,0,0,0,0,0,0
" ","Glostrup",0,0,0,0,0,0,0,0,0,0
" ","Herlev",0,0,0,0,0,0,0,0,0,0
" ","Hvidovre",0,0,0,0,0,0,0,0,0,0
" ","Høje-Taastrup",1,0,0,0,0,0,0,0,1,0
" ","Ishøj",0,0,0,0,0,0,0,0,0,0
" ","Lyngby-Taarbæk",0,0,0,0,0,0,0,1,0,0
" ","Rødovre",0,0,0,0,0,0,0,0,0,0
" ","Vallensbæk",0,0,1,0,0,0,0,0,0,0
" ","Allerød",1,0,0,0,0,0,0,0,0,0
" ","Egedal",0,0,0,0,0,0,0,0,0,1
" ","Fredensborg",0,0,0,1,0,0,0,0,1,1
" ","Frederikssund",1,0,0,0,0,1,0,0,0,1
" ","Furesø",0,0,0,0,0,0,0,0,0,0
" ","Gribskov",0,1,0,1,1,1,0,0,0,1
" ","Halsnæs",0,1,1,0,0,0,0,1,0,0
" ","Helsingør",1,3,0,0,0,1,0,0,0,0
" ","Hillerød",2,1,1,0,0,0,1,0,0,0
" ","Hørsholm",0,0,0,0,0,0,0,0,1,0
" ","Rudersdal",1,0,0,0,0,0,0,0,0,0
" ","Bornholm",0,0,0,0,0,0,0,0,0,0
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",7,7,5,5,9,2,2,4,3,3
" ","Greve",0,0,1,0,0,0,0,0,0,0
" ","Køge",0,1,0,0,1,0,1,0,0,1
" ","Lejre",0,0,1,0,0,0,0,0,0,0
" ","Roskilde",0,2,0,0,1,1,1,0,0,1
" ","Solrød",0,0,0,0,0,0,0,1,0,0
" ","Faxe",3,0,0,1,0,0,0,0,1,0
" ","Guldborgsund",1,0,0,0,0,0,0,0,0,0
" ","Holbæk",0,1,1,0,3,0,0,1,0,0
" ","Kalundborg",0,0,0,1,1,0,0,1,0,0
" ","Lolland",0,0,0,0,0,1,0,0,0,0
" ","Næstved",1,1,0,0,0,0,0,0,0,0
" ","Odsherred",0,0,0,1,1,0,0,0,0,0
" ","Ringsted",0,1,1,0,2,0,0,0,2,1
" ","Slagelse",1,1,1,0,0,0,0,1,0,0
" ","Sorø",0,0,0,1,0,0,0,0,0,0
" ","Stevns",0,0,0,1,0,0,0,0,0,0
" ","Vordingborg",1,0,0,0,0,0,0,0,0,0
" ","Region Syddanmark",19,16,7,27,7,11,5,10,7,9
" ","Assens",2,1,1,1,0,1,0,1,0,0
" ","Faaborg-Midtfyn",3,2,0,1,1,0,0,0,0,0
" ","Kerteminde",1,0,1,2,1,1,0,1,0,0
" ","Langeland",0,0,0,0,1,0,1,0,0,0
" ","Middelfart",1,2,0,1,0,0,0,0,0,0
" ","Nordfyns",0,0,0,3,1,0,1,0,0,0
" ","Nyborg",0,0,1,2,0,1,1,1,0,0
" ","Odense",4,6,3,11,2,3,1,6,2,0
" ","Svendborg",1,1,1,2,0,2,1,0,2,0
" ","Ærø",0,0,0,0,0,0,0,0,0,0
" ","Billund",0,0,0,0,0,0,0,0,0,0
" ","Esbjerg",1,0,0,1,0,0,0,1,2,1
" ","Fanø",0,0,0,0,0,0,0,0,0,0
" ","Fredericia",1,1,0,0,1,1,0,0,0,1
" ","Haderslev",0,2,0,0,0,0,0,0,0,1
" ","Kolding",1,1,0,2,0,0,0,0,0,2
" ","Sønderborg",0,0,0,0,0,0,0,0,0,1
" ","Tønder",0,0,0,0,0,0,0,0,0,0
" ","Varde",1,0,0,0,0,1,0,0,0,0
" ","Vejen",0,0,0,0,0,0,0,0,1,2
" ","Vejle",2,0,0,1,0,1,0,0,0,0
" ","Aabenraa",1,0,0,0,0,0,0,0,0,1
" ","Region Midtjylland",6,10,3,6,4,5,1,6,6,11
" ","Favrskov",1,1,0,0,0,0,0,0,0,0
" ","Hedensted",0,0,0,0,0,0,0,0,1,0
" ","Horsens",1,0,0,0,0,2,0,2,1,0
" ","Norddjurs",0,0,0,0,0,0,0,0,0,0
" ","Odder",0,0,0,0,0,0,0,0,0,0
" ","Randers",0,1,0,1,0,0,0,0,0,0
" ","Samsø",0,0,0,0,0,0,0,0,0,0
" ","Silkeborg",0,2,2,0,1,0,0,0,1,5
" ","Skanderborg",0,1,0,0,0,0,0,0,0,1
" ","Syddjurs",0,0,0,0,0,0,0,0,0,0
" ","Aarhus",0,0,0,1,0,0,0,0,1,1
" ","Herning",0,3,0,0,1,1,0,1,0,1
" ","Holstebro",1,0,0,0,0,1,0,0,0,0
" ","Ikast-Brande",0,1,0,0,0,0,1,0,1,0
" ","Lemvig",0,0,0,0,1,0,0,0,0,0
" ","Ringkøbing-Skjern",0,0,0,1,0,0,0,1,0,0
" ","Skive",1,0,0,0,0,0,0,0,0,2
" ","Struer",0,0,0,0,0,0,0,0,0,0
" ","Viborg",2,1,1,3,1,1,0,2,1,1
" ","Region Nordjylland",3,3,2,6,2,0,1,1,9,1
" ","Brønderslev",0,0,0,1,0,0,0,0,1,0
" ","Frederikshavn",0,0,0,0,0,0,0,0,0,0
" ","Hjørring",0,0,0,1,0,0,0,0,1,0
" ","Jammerbugt",1,1,0,1,0,0,0,0,0,0
" ","Læsø",0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",0,0,0,0,1,0,0,0,0,0
" ","Morsø",0,0,1,0,0,0,0,0,0,0
" ","Rebild",1,0,0,2,0,0,0,0,1,0
" ","Thisted",0,0,0,0,0,0,1,0,0,0
" ","Vesthimmerlands",0,1,0,0,0,0,0,1,0,1
" ","Aalborg",1,1,1,1,1,0,0,0,6,0
"Traffic acc. under influence of alcohol"
" ","All Denmark",1009,936,867,853,798,732,751,810,832,813
" ","Region Hovedstaden",198,180,203,176,136,104,210,188,154,154
" ","Copenhagen",52,47,49,51,40,17,52,56,63,44
" ","Frederiksberg",9,5,7,6,4,5,12,11,3,5
" ","Dragør",1,5,2,0,4,2,3,1,0,3
" ","Tårnby",4,8,10,3,3,2,7,8,4,6
" ","Albertslund",2,0,2,5,3,2,2,3,4,3
" ","Ballerup",6,4,5,3,3,2,1,6,3,3
" ","Brøndby",3,3,6,3,4,4,5,2,3,0
" ","Gentofte",10,8,5,5,5,2,11,11,6,7
" ","Gladsaxe",7,10,8,9,6,5,8,7,5,9
" ","Glostrup",3,1,4,6,3,1,0,5,2,2
" ","Herlev",1,3,5,5,4,2,3,2,2,3
" ","Hvidovre",5,9,10,7,6,6,5,6,6,9
" ","Høje-Taastrup",4,6,8,4,8,7,4,4,5,4
" ","Ishøj",5,3,4,2,2,1,6,3,0,4
" ","Lyngby-Taarbæk",6,3,9,3,3,2,5,1,1,1
" ","Rødovre",7,4,9,1,4,6,0,9,3,5
" ","Vallensbæk",1,3,1,1,2,1,0,1,0,1
" ","Allerød",2,2,2,1,1,2,1,1,0,1
" ","Egedal",6,6,4,0,3,3,4,4,5,3
" ","Fredensborg",6,3,4,8,1,3,7,4,4,4
" ","Frederikssund",8,4,10,4,3,7,12,3,5,3
" ","Furesø",5,2,2,2,0,0,3,4,2,3
" ","Gribskov",4,9,9,12,3,5,8,6,5,7
" ","Halsnæs",3,7,5,4,4,5,11,3,3,2
" ","Helsingør",15,10,6,6,3,1,8,4,3,9
" ","Hillerød",4,4,5,10,2,1,10,8,2,6
" ","Hørsholm",4,0,0,3,1,0,5,3,0,2
" ","Rudersdal",6,6,4,5,5,1,9,2,1,3
" ","Bornholm",9,5,8,7,6,9,8,10,14,2
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",174,175,136,152,142,160,113,135,135,152
" ","Greve",7,6,2,9,5,7,4,1,6,5
" ","Køge",7,14,13,7,8,5,7,12,10,9
" ","Lejre",2,7,2,2,3,6,3,4,3,6
" ","Roskilde",10,13,8,10,6,9,5,7,9,14
" ","Solrød",1,0,3,3,4,2,1,1,3,2
" ","Faxe",8,7,8,6,9,3,4,7,6,6
" ","Guldborgsund",25,15,10,14,14,11,8,12,13,21
" ","Holbæk",15,18,22,11,16,9,8,13,11,8
" ","Kalundborg",16,16,13,9,7,14,18,20,10,16
" ","Lolland",7,10,11,8,12,11,6,9,9,10
" ","Næstved",20,16,11,23,16,20,12,15,11,16
" ","Odsherred",12,10,5,11,8,13,9,5,8,5
" ","Ringsted",6,9,4,5,1,7,6,2,5,7
" ","Slagelse",19,14,11,16,11,17,7,14,13,11
" ","Sorø",5,7,2,6,7,7,7,2,6,3
" ","Stevns",6,5,2,1,5,6,3,4,3,5
" ","Vordingborg",8,8,9,11,10,13,5,7,9,8
" ","Region Syddanmark",282,241,240,209,227,185,188,218,213,242
" ","Assens",12,7,12,9,12,5,8,14,9,16
" ","Faaborg-Midtfyn",20,18,13,4,10,7,8,15,4,7
" ","Kerteminde",8,5,3,2,2,3,5,4,5,4
" ","Langeland",5,4,3,5,6,5,1,3,3,3
" ","Middelfart",8,7,9,7,8,8,6,7,7,7
" ","Nordfyns",12,8,14,8,15,7,11,9,12,10
" ","Nyborg",6,8,14,5,6,0,5,4,11,6
" ","Odense",46,43,38,32,31,36,26,23,31,31
" ","Svendborg",16,9,14,7,15,15,8,10,15,8
" ","Ærø",2,3,1,1,1,2,3,2,3,1
" ","Billund",7,2,1,5,4,5,0,4,0,8
" ","Esbjerg",19,18,18,12,22,11,20,19,17,26
" ","Fanø",0,0,0,1,0,0,0,0,1,0
" ","Fredericia",9,8,8,15,6,3,7,13,6,8
" ","Haderslev",15,14,12,13,5,6,7,9,13,12
" ","Kolding",19,20,26,22,16,21,15,15,12,24
" ","Sønderborg",11,8,12,9,19,7,14,14,15,11
" ","Tønder",9,5,8,6,9,3,9,9,11,8
" ","Varde",13,13,11,11,9,8,7,10,10,14
" ","Vejen",13,6,6,6,9,5,4,9,7,10
" ","Vejle",17,24,14,16,16,19,17,18,16,21
