"Persons guilty in crimes by type of offence, region and time"

" "," ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
" ","Vesthimmerlands",177,163,150,146,128,115,115,135,125,108
" ","Aalborg",1030,1052,981,882,736,775,830,865,797,855
"Sexual offenses, total"
" ","All Denmark",582,515,553,573,609,629,1385,1020,996,1029
" ","Region Hovedstaden",136,118,122,130,153,191,580,339,276,287
" ","Copenhagen",44,37,41,37,48,53,230,121,92,111
" ","Frederiksberg",6,1,3,9,5,9,36,14,10,10
" ","Dragør",1,1,0,1,0,1,1,4,2,2
" ","Tårnby",0,6,5,2,1,4,5,8,6,7
" ","Albertslund",1,2,2,3,6,5,13,3,5,3
" ","Ballerup",1,4,2,4,2,5,12,9,6,8
" ","Brøndby",4,1,2,5,5,6,6,12,10,6
" ","Gentofte",5,2,3,3,2,3,29,16,8,6
" ","Gladsaxe",7,1,5,3,10,4,32,12,11,10
" ","Glostrup",1,2,1,0,0,3,5,5,3,5
" ","Herlev",2,2,1,3,5,1,7,4,8,5
" ","Hvidovre",5,2,3,3,5,10,15,7,11,6
" ","Høje-Taastrup",9,10,6,6,9,10,20,15,13,7
" ","Ishøj",3,2,2,3,2,3,4,6,8,3
" ","Lyngby-Taarbæk",0,7,5,2,6,9,18,7,8,6
" ","Rødovre",6,4,3,3,4,5,12,6,7,8
" ","Vallensbæk",0,4,1,0,0,0,4,6,1,0
" ","Allerød",0,1,1,1,1,2,4,0,5,2
" ","Egedal",2,2,2,1,5,7,12,4,4,9
" ","Fredensborg",3,2,1,3,2,2,9,5,1,13
" ","Frederikssund",3,4,5,4,2,5,8,6,8,7
" ","Furesø",3,1,2,1,4,5,12,12,6,5
" ","Gribskov",2,4,4,3,4,8,10,10,6,6
" ","Halsnæs",4,1,4,4,3,4,8,7,8,9
" ","Helsingør",12,4,2,7,7,9,24,8,10,5
" ","Hillerød",6,3,4,5,3,7,11,18,9,16
" ","Hørsholm",1,0,1,0,1,1,5,3,3,1
" ","Rudersdal",2,3,5,5,3,3,14,3,1,5
" ","Bornholm",3,5,6,9,8,7,14,8,6,6
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",99,92,102,113,113,110,175,158,173,178
" ","Greve",7,4,6,4,4,2,7,8,3,5
" ","Køge",8,4,9,4,4,6,9,6,8,18
" ","Lejre",0,2,1,6,3,1,2,1,1,4
" ","Roskilde",9,7,8,4,2,11,15,10,17,8
" ","Solrød",4,1,0,0,1,1,7,4,5,5
" ","Faxe",5,3,8,6,6,8,6,6,10,14
" ","Guldborgsund",12,11,8,16,8,5,14,20,19,18
" ","Holbæk",2,13,5,8,6,8,14,10,12,10
" ","Kalundborg",4,2,2,4,11,9,5,10,7,9
" ","Lolland",6,6,15,6,14,7,21,8,18,16
" ","Næstved",8,7,7,12,12,6,19,22,22,21
" ","Odsherred",3,4,6,10,6,3,8,8,9,7
" ","Ringsted",4,1,2,7,2,4,11,6,3,9
" ","Slagelse",12,13,10,12,15,22,17,15,21,17
" ","Sorø",4,2,5,4,4,7,9,9,5,5
" ","Stevns",3,4,3,3,2,5,1,3,4,4
" ","Vordingborg",8,8,7,7,13,5,10,12,9,8
" ","Region Syddanmark",147,131,146,158,143,131,230,204,216,229
" ","Assens",6,5,4,4,5,8,8,4,6,9
" ","Faaborg-Midtfyn",5,5,7,8,0,10,13,5,6,10
" ","Kerteminde",4,2,0,2,1,3,5,7,4,5
" ","Langeland",3,2,0,4,1,0,0,2,3,0
" ","Middelfart",7,1,4,2,4,1,14,3,4,4
" ","Nordfyns",6,2,7,1,4,1,4,2,4,11
" ","Nyborg",5,3,5,6,1,1,3,4,4,6
" ","Odense",24,24,24,28,29,23,40,41,38,47
" ","Svendborg",7,6,4,10,9,9,14,4,8,9
" ","Ærø",1,0,0,0,0,0,0,1,1,0
" ","Billund",1,3,1,4,5,0,3,7,8,4
" ","Esbjerg",17,9,16,21,10,14,19,22,25,21
" ","Fanø",1,0,0,0,0,0,3,1,0,0
" ","Fredericia",2,3,6,6,7,5,12,9,8,11
" ","Haderslev",6,8,6,15,7,7,11,9,13,7
" ","Kolding",6,11,7,11,12,9,23,12,19,13
" ","Sønderborg",7,6,8,5,8,12,7,14,11,16
" ","Tønder",4,9,6,6,6,5,6,7,5,7
" ","Varde",3,2,9,4,9,6,6,11,10,9
" ","Vejen",4,5,9,5,3,5,7,6,8,5
" ","Vejle",12,16,13,10,11,12,22,23,22,22
" ","Aabenraa",16,9,10,6,11,0,10,10,9,13
" ","Region Midtjylland",125,111,117,108,130,125,284,204,227,245
" ","Favrskov",3,7,3,2,2,4,10,6,4,4
" ","Hedensted",5,4,1,1,4,5,11,6,6,8
" ","Horsens",5,9,7,8,3,9,26,10,20,20
" ","Norddjurs",6,5,7,5,4,1,11,10,6,3
" ","Odder",3,2,1,2,2,4,3,1,3,2
" ","Randers",8,16,14,5,11,11,18,18,33,30
" ","Samsø",0,0,0,0,0,0,0,0,0,0
" ","Silkeborg",6,7,7,7,11,10,21,16,20,19
" ","Skanderborg",5,1,5,6,8,1,7,6,7,3
" ","Syddjurs",3,4,2,5,2,2,9,4,4,3
" ","Aarhus",24,25,26,19,35,38,79,49,48,47
" ","Herning",11,6,8,8,11,7,21,20,15,21
" ","Holstebro",8,3,9,9,6,3,9,12,11,21
" ","Ikast-Brande",6,4,3,5,3,4,6,4,8,14
" ","Lemvig",1,3,2,3,0,0,8,1,2,1
" ","Ringkøbing-Skjern",4,2,9,6,3,2,8,12,8,9
" ","Skive",9,4,5,5,7,6,7,12,8,11
" ","Struer",2,2,1,3,4,6,7,3,7,6
" ","Viborg",16,7,7,9,14,12,23,14,17,23
" ","Region Nordjylland",75,63,66,64,70,72,116,115,104,90
" ","Brønderslev",5,4,6,5,5,8,5,10,6,6
" ","Frederikshavn",7,10,13,8,7,10,19,11,6,10
" ","Hjørring",7,9,6,6,7,8,11,11,12,10
" ","Jammerbugt",11,6,6,5,5,6,10,7,12,6
" ","Læsø",0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",7,6,4,4,8,4,7,11,12,9
" ","Morsø",1,2,0,4,2,4,0,2,4,6
" ","Rebild",2,2,1,1,3,2,1,4,3,4
" ","Thisted",5,3,1,4,2,5,6,9,5,5
" ","Vesthimmerlands",5,6,4,7,6,3,9,9,6,8
" ","Aalborg",25,15,25,20,25,22,48,41,38,26
"Incest, etc."
" ","All Denmark",20,12,16,10,8,9,12,8,17,10
" ","Region Hovedstaden",4,2,2,5,0,1,1,1,2,6
" ","Copenhagen",1,1,0,2,0,0,0,0,0,0
" ","Frederiksberg",0,0,0,0,0,0,0,0,0,0
" ","Dragør",0,0,0,1,0,0,0,0,0,0
" ","Tårnby",0,0,1,0,0,0,0,0,0,0
" ","Albertslund",0,0,0,0,0,0,0,0,0,0
" ","Ballerup",0,1,1,0,0,0,0,0,0,0
" ","Brøndby",0,0,0,0,0,0,0,0,2,0
" ","Gentofte",0,0,0,0,0,0,1,0,0,0
" ","Gladsaxe",0,0,0,0,0,0,0,0,0,1
" ","Glostrup",0,0,0,0,0,0,0,0,0,0
" ","Herlev",0,0,0,0,0,0,0,0,0,0
" ","Hvidovre",0,0,0,0,0,0,0,0,0,0
" ","Høje-Taastrup",1,0,0,0,0,0,0,0,0,0
" ","Ishøj",0,0,0,0,0,0,0,0,0,0
" ","Lyngby-Taarbæk",0,0,0,0,0,0,0,0,0,0
" ","Rødovre",0,0,0,0,0,1,0,0,0,1
" ","Vallensbæk",0,0,0,0,0,0,0,0,0,0
" ","Allerød",0,0,0,0,0,0,0,0,0,0
" ","Egedal",0,0,0,0,0,0,0,0,0,2
" ","Fredensborg",0,0,0,0,0,0,0,0,0,0
" ","Frederikssund",0,0,0,0,0,0,0,0,0,0
" ","Furesø",0,0,0,0,0,0,0,0,0,0
" ","Gribskov",0,0,0,0,0,0,0,0,0,0
" ","Halsnæs",0,0,0,0,0,0,0,0,0,1
" ","Helsingør",2,0,0,0,0,0,0,0,0,0
" ","Hillerød",0,0,0,0,0,0,0,0,0,0
" ","Hørsholm",0,0,0,0,0,0,0,0,0,1
" ","Rudersdal",0,0,0,0,0,0,0,0,0,0
" ","Bornholm",0,0,0,2,0,0,0,1,0,0
" ","Christiansø",0,0,0,0,0,0,0,0,0,0
" ","Region Sjælland",3,2,4,2,2,1,2,2,3,2
" ","Greve",0,0,0,0,0,0,0,0,0,0
" ","Køge",0,0,1,1,0,0,0,0,0,0
" ","Lejre",0,0,0,0,0,0,0,0,0,0
" ","Roskilde",0,0,0,0,0,0,0,0,0,0
" ","Solrød",0,0,0,0,0,0,0,0,0,0
" ","Faxe",0,0,0,0,0,0,0,0,0,2
" ","Guldborgsund",0,0,0,0,0,0,1,0,0,0
" ","Holbæk",1,1,0,0,0,0,1,0,0,0
" ","Kalundborg",0,0,1,0,0,0,0,0,0,0
" ","Lolland",0,0,1,0,0,0,0,0,1,0
" ","Næstved",2,0,0,0,0,0,0,0,0,0
" ","Odsherred",0,1,0,0,0,0,0,1,0,0
" ","Ringsted",0,0,1,0,0,0,0,0,1,0
" ","Slagelse",0,0,0,1,0,0,0,0,1,0
" ","Sorø",0,0,0,0,0,0,0,1,0,0
" ","Stevns",0,0,0,0,0,1,0,0,0,0
" ","Vordingborg",0,0,0,0,2,0,0,0,0,0
" ","Region Syddanmark",9,3,2,1,2,4,5,2,5,0
" ","Assens",0,0,1,0,0,0,1,0,1,0
" ","Faaborg-Midtfyn",0,0,0,0,0,0,0,1,1,0
" ","Kerteminde",0,0,0,0,0,1,0,0,0,0
" ","Langeland",1,0,0,0,0,0,0,0,0,0
" ","Middelfart",0,0,0,0,0,0,0,0,0,0
" ","Nordfyns",2,0,0,0,0,1,0,0,0,0
" ","Nyborg",0,0,0,0,0,0,0,0,0,0
" ","Odense",0,1,1,1,0,1,0,1,0,0
" ","Svendborg",2,0,0,0,0,0,0,0,0,0
" ","Ærø",0,0,0,0,0,0,0,0,0,0
" ","Billund",0,0,0,0,1,0,0,0,0,0
" ","Esbjerg",0,0,0,0,0,0,0,0,0,0
" ","Fanø",0,0,0,0,0,0,0,0,0,0
" ","Fredericia",0,0,0,0,0,0,2,0,0,0
" ","Haderslev",1,1,0,0,0,0,0,0,0,0
" ","Kolding",0,0,0,0,0,0,0,0,0,0
" ","Sønderborg",1,0,0,0,0,0,0,0,1,0
" ","Tønder",1,0,0,0,0,0,0,0,0,0
" ","Varde",0,0,0,0,1,1,0,0,0,0
" ","Vejen",0,0,0,0,0,0,0,0,1,0
" ","Vejle",0,1,0,0,0,0,0,0,1,0
" ","Aabenraa",1,0,0,0,0,0,2,0,0,0
" ","Region Midtjylland",2,1,7,0,2,3,2,1,5,1
" ","Favrskov",0,0,0,0,0,0,1,0,0,0
" ","Hedensted",0,0,0,0,0,0,0,0,0,0
" ","Horsens",0,0,1,0,0,1,1,0,0,0
" ","Norddjurs",0,0,0,0,0,0,0,0,0,0
" ","Odder",0,0,0,0,0,0,0,0,1,0
" ","Randers",0,0,1,0,0,0,0,0,0,0
" ","Samsø",0,0,0,0,0,0,0,0,0,0
" ","Silkeborg",0,0,0,0,0,0,0,0,0,0
" ","Skanderborg",0,0,0,0,1,0,0,0,1,0
" ","Syddjurs",0,0,0,0,0,0,0,0,0,0
" ","Aarhus",0,0,0,0,0,0,0,0,0,0
" ","Herning",1,0,1,0,0,0,0,0,0,0
" ","Holstebro",0,0,1,0,0,0,0,0,0,0
" ","Ikast-Brande",0,0,1,0,0,0,0,0,0,0
" ","Lemvig",0,1,0,0,0,0,0,0,0,0
" ","Ringkøbing-Skjern",0,0,0,0,0,0,0,1,1,0
" ","Skive",0,0,2,0,0,0,0,0,1,1
" ","Struer",1,0,0,0,0,0,0,0,0,0
" ","Viborg",0,0,0,0,1,2,0,0,1,0
" ","Region Nordjylland",2,4,1,2,2,0,2,2,2,1
" ","Brønderslev",0,0,0,0,0,0,0,0,0,0
" ","Frederikshavn",0,0,0,0,0,0,1,0,0,0
" ","Hjørring",0,0,0,0,0,0,0,1,1,0
" ","Jammerbugt",0,1,0,0,0,0,0,1,0,0
" ","Læsø",0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",1,1,0,0,0,0,0,0,1,0
" ","Morsø",0,0,0,1,0,0,0,0,0,0
" ","Rebild",0,0,0,0,0,0,0,0,0,0
" ","Thisted",0,1,0,0,0,0,0,0,0,1
" ","Vesthimmerlands",0,0,1,1,0,0,0,0,0,0
" ","Aalborg",1,1,0,0,2,0,1,0,0,0
"Rape, etc"
" ","All Denmark",48,36,49,66,86,69,74,103,118,125
" ","Region Hovedstaden",10,14,20,21,27,24,19,41,42,46
" ","Copenhagen",8,4,8,8,12,8,3,14,16,17
" ","Frederiksberg",0,0,0,3,2,2,0,3,2,2
" ","Dragør",0,0,0,0,0,0,0,0,0,0
" ","Tårnby",0,0,0,1,1,0,0,0,1,1
" ","Albertslund",0,0,0,0,1,0,1,0,0,1
" ","Ballerup",0,1,0,0,1,1,0,2,1,0
" ","Brøndby",0,0,1,0,1,0,2,4,2,2
" ","Gentofte",0,2,0,0,0,0,1,1,2,1
" ","Gladsaxe",0,0,1,0,0,1,1,1,2,3
" ","Glostrup",0,0,0,0,0,0,0,0,0,0
" ","Herlev",0,0,0,0,0,0,0,0,0,2
" ","Hvidovre",0,1,0,1,1,1,0,0,1,1
" ","Høje-Taastrup",0,2,3,1,0,1,2,2,3,1
" ","Ishøj",0,0,1,0,0,0,0,1,2,1
" ","Lyngby-Taarbæk",0,1,1,1,1,2,0,1,1,1
" ","Rødovre",0,1,1,1,2,0,0,1,1,1
" ","Vallensbæk",0,2,0,0,0,0,0,0,0,0
