"Persons of Danish origin";"Intentional bodily harm";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Persons of Danish origin";"Homicide by negligence/bodily harm";11;12;6;8;12;5;4;6;11;5;12;7;11;8;9;8;8;6;12;10;5
"Persons of Danish origin";"Other offences against life and limb";53;61;76;69;70;70;68;72;95;87;71;53;57;47;52;73;72;61;70;99;83
"Persons of Danish origin";"Offences against personal liberty";56;80;67;73;55;43;47;46;75;72;80;69;52;69;50;56;44;44;57;72;52
"Persons of Danish origin";"Threats";420;494;585;645;630;505;506;532;679;559;524;516;407;465;424;429;434;469;590;534;502
"Persons of Danish origin";"Offenses against property, total";20277;18654;18589;18270;16020;12912;13244;15008;15666;15988;15617;14399;13576;12376;11438;9240;9224;9042;10139;9592;9497
"Persons of Danish origin";"Forgery";374;375;452;459;364;230;258;244;315;371;287;278;225;186;196;168;117;94;151;129;131
"Persons of Danish origin";"Cheque forgery";369;307;240;141;137;42;35;43;45;33;28;3;3;7;4;2;3;1;0;0;0
"Persons of Danish origin";"Arson";141;183;140;168;155;114;158;146;158;142;134;111;125;101;101;101;108;88;114;137;96
"Persons of Danish origin";"Burglary (banks, shops, etc.)";1033;930;985;906;772;546;559;641;768;732;609;516;430;370;318;302;210;201;270;206;175
"Persons of Danish origin";"Household burglary";564;486;489;496;447;379;404;496;525;559;552;475;371;313;326;229;213;212;185;166;168
"Persons of Danish origin";"Burglary (uninhabited buildings)";178;170;162;173;134;136;115;147;168;164;155;151;114;92;104;88;62;54;68;79;63
"Persons of Danish origin";"Theft from cars, boats, etc.";393;364;350;320;299;224;205;233;198;160;159;115;103;79;61;41;51;53;60;63;61
"Persons of Danish origin";"Shoplifting, etc.";7590;6442;7167;6579;5659;4691;5094;6031;5940;6082;6064;5970;5902;5725;5133;4098;4661;4547;4890;4484;4739
"Persons of Danish origin";"Other theft";2157;2205;2024;2126;1985;1552;1639;1864;2020;2173;2170;1844;1650;1377;1190;904;957;854;934;890;722
"Persons of Danish origin";"Theft of vehicle";1230;1136;923;868;667;562;532;636;678;645;516;449;378;299;318;341;299;287;286;280;273
"Persons of Danish origin";"Theft of mopeds";198;303;368;383;343;268;240;206;200;148;139;100;78;50;32;34;35;33;35;28;23
"Persons of Danish origin";"Theft of bicycles";340;245;258;272;205;163;134;137;146;131;166;148;162;117;90;60;62;90;90;88;115
"Persons of Danish origin";"Theft of other objects";221;275;235;236;211;222;231;263;280;293;256;245;199;149;132;139;135;127;129;124;105
"Persons of Danish origin";"Larceny by finding";361;330;337;323;246;188;203;249;292;363;348;268;240;219;163;154;152;104;150;125;103
"Persons of Danish origin";"Embezzlement";275;283;222;197;155;119;112;150;141;133;148;133;133;152;102;68;37;50;68;56;58
"Persons of Danish origin";"Fraud";1162;1078;862;905;823;563;642;656;846;873;1026;1187;1114;1069;1262;966;675;753;932;978;953
"Persons of Danish origin";"Fraud by cheque";91;62;33;32;26;16;18;23;22;20;13;12;9;4;2;0;0;0;0;0;0
"Persons of Danish origin";"Fraud of agent";53;62;76;49;47;34;44;24;43;45;38;55;59;39;51;56;37;34;28;33;24
"Persons of Danish origin";"Blackmail and usury";11;34;40;39;38;24;12;41;32;42;55;35;44;26;22;28;30;36;29;38;44
"Persons of Danish origin";"Fraud against creditors";39;28;46;21;32;20;23;15;26;32;41;26;38;33;29;12;9;4;10;12;11
"Persons of Danish origin";"Handling stolen goods";1004;974;942;943;774;545;470;518;597;688;682;566;535;445;388;282;262;246;294;348;339
"Persons of Danish origin";"Robbery";480;488;366;413;371;341;416;553;524;499;428;361;299;256;263;222;200;188;218;247;180
"Persons of Danish origin";"Gross tax evasion, etc.";40;21;21;27;43;40;17;36;62;71;54;76;63;55;68;58;39;31;31;30;40
"Persons of Danish origin";"Malicious damage to property";1788;1661;1706;2004;1939;1774;1565;1523;1554;1474;1426;1179;1083;976;911;744;768;757;992;856;902
"Persons of Danish origin";"Feloniously receiving stolen goods";74;85;61;59;44;24;33;28;30;45;34;20;25;31;13;12;4;4;1;4;3
"Persons of Danish origin";"Misappropriations and offences against property";111;127;84;131;104;95;85;105;56;70;89;76;194;206;159;131;98;194;174;191;169
"Persons of Danish origin";"Other offences, total";1812;2048;2518;2620;2390;1846;1899;1993;2247;2223;2116;2067;1880;1831;1641;1524;1529;1631;2038;1980;2011
"Persons of Danish origin";"Offences against public authority, etc.";375;365;647;690;741;480;451;491;538;538;508;528;496;410;370;377;501;467;677;679;720
"Persons of Danish origin";"Offences by public servants";9;14;13;6;17;12;7;15;12;14;21;12;19;17;17;30;14;25;22;44;26
"Persons of Danish origin";"Perjury";47;39;66;64;68;50;24;25;25;43;51;33;33;25;30;20;14;12;16;10;9
"Persons of Danish origin";"Perjury, other";390;463;491;514;397;290;326;303;376;330;331;296;258;259;225;193;161;129;170;162;179
"Persons of Danish origin";"Offences concerning money and evidence";68;82;153;128;95;95;70;62;103;118;138;93;121;93;73;96;60;85;74;60;105
"Persons of Danish origin";"Trafficking of drugs, etc.";269;365;427;467;417;343;381;363;425;513;410;416;398;495;431;318;318;338;395;364;372
