"Age, total";"Total";"All Denmark";"Japan";1812
"Age, total";"Total";"All Denmark";"Jordan";873
"Age, total";"Total";"All Denmark";"Kazakhstan";207
"Age, total";"Total";"All Denmark";"China";12105
"Age, total";"Total";"All Denmark";"Kyrgyzstan";105
"Age, total";"Total";"All Denmark";"Kuwait";10
"Age, total";"Total";"All Denmark";"Laos";47
"Age, total";"Total";"All Denmark";"Lebanon";1506
"Age, total";"Total";"All Denmark";"Macao";0
"Age, total";"Total";"All Denmark";"Malaysia";510
"Age, total";"Total";"All Denmark";"Maldives";13
"Age, total";"Total";"All Denmark";"Middle East not stated";3
"Age, total";"Total";"All Denmark";"Mongolia";47
"Age, total";"Total";"All Denmark";"Myanmar";2155
"Age, total";"Total";"All Denmark";"Nepal";7133
"Age, total";"Total";"All Denmark";"North Korea";35
"Age, total";"Total";"All Denmark";"North Yemen";0
"Age, total";"Total";"All Denmark";"Oman";2
"Age, total";"Total";"All Denmark";"Pakistan";10141
"Age, total";"Total";"All Denmark";"Palestine";0
"Age, total";"Total";"All Denmark";"Qatar";3
"Age, total";"Total";"All Denmark";"Saudi Arabia";36
"Age, total";"Total";"All Denmark";"Sikkim";0
"Age, total";"Total";"All Denmark";"Singapore";516
"Age, total";"Total";"All Denmark";"Sri Lanka";2782
"Age, total";"Total";"All Denmark";"South Korea";824
"Age, total";"Total";"All Denmark";"Syria";36286
"Age, total";"Total";"All Denmark";"Tajikistan";30
"Age, total";"Total";"All Denmark";"Taiwan";352
"Age, total";"Total";"All Denmark";"Thailand";10972
"Age, total";"Total";"All Denmark";"Trucial Oman";0
"Age, total";"Total";"All Denmark";"Turkmenistan";14
"Age, total";"Total";"All Denmark";"Uzbekistan";341
"Age, total";"Total";"All Denmark";"West Bank";0
"Age, total";"Total";"All Denmark";"West bank and Gaza";0
"Age, total";"Total";"All Denmark";"Vietnam";5181
"Age, total";"Total";"All Denmark";"Yemen";86
"Age, total";"Total";"All Denmark";"East Jerusalem";0
"Age, total";"Total";"All Denmark";"Asia not stated";6
"Age, total";"Total";"All Denmark";"Australia";2136
"Age, total";"Total";"All Denmark";"Cook Islands";0
"Age, total";"Total";"All Denmark";"Fiji";9
"Age, total";"Total";"All Denmark";"French territories in the Pacific";0
"Age, total";"Total";"All Denmark";"Kiribati";0
"Age, total";"Total";"All Denmark";"Marshall Islands";0
"Age, total";"Total";"All Denmark";"New Zealand";553
"Age, total";"Total";"All Denmark";"Papua New Guinea";2
"Age, total";"Total";"All Denmark";"Solomon Islands";1
"Age, total";"Total";"All Denmark";"Samoa";9
"Age, total";"Total";"All Denmark";"Tonga";5
"Age, total";"Total";"All Denmark";"Tuvalu";0
"Age, total";"Total";"All Denmark";"Vanuatu";2
"Age, total";"Total";"All Denmark";"East Timor";0
"Age, total";"Total";"All Denmark";"Pacific Islands";0
"Age, total";"Total";"All Denmark";"Stateless";8528
"Age, total";"Total";"All Denmark";"Not stated";47
"Age, total";"Total";"Region Hovedstaden";"Total";1911067
"Age, total";"Total";"Region Hovedstaden";"Denmark";1623116
"Age, total";"Total";"Region Hovedstaden";"Albania";307
"Age, total";"Total";"Region Hovedstaden";"Andorra";0
"Age, total";"Total";"Region Hovedstaden";"Belarus";289
"Age, total";"Total";"Region Hovedstaden";"Belgium";1109
"Age, total";"Total";"Region Hovedstaden";"Bosnia and Herzegovina";1620
"Age, total";"Total";"Region Hovedstaden";"Bulgaria";7323
"Age, total";"Total";"Region Hovedstaden";"Cyprus";164
"Age, total";"Total";"Region Hovedstaden";"GDR";0
"Age, total";"Total";"Region Hovedstaden";"Estonia";742
"Age, total";"Total";"Region Hovedstaden";"Finland";2032
"Age, total";"Total";"Region Hovedstaden";"France";6474
"Age, total";"Total";"Region Hovedstaden";"Greece";3716
"Age, total";"Total";"Region Hovedstaden";"Ireland";2039
"Age, total";"Total";"Region Hovedstaden";"Iceland";4003
"Age, total";"Total";"Region Hovedstaden";"Italy";11835
"Age, total";"Total";"Region Hovedstaden";"Yugoslavia";1858
"Age, total";"Total";"Region Hovedstaden";"Yugoslavia, Federal Republic";99
"Age, total";"Total";"Region Hovedstaden";"Kosovo";541
"Age, total";"Total";"Region Hovedstaden";"Croatia";1816
"Age, total";"Total";"Region Hovedstaden";"Latvia";1717
"Age, total";"Total";"Region Hovedstaden";"Liechtenstein";7
"Age, total";"Total";"Region Hovedstaden";"Lithuania";5244
"Age, total";"Total";"Region Hovedstaden";"Luxembourg";79
"Age, total";"Total";"Region Hovedstaden";"Malta";74
"Age, total";"Total";"Region Hovedstaden";"Moldova";125
"Age, total";"Total";"Region Hovedstaden";"Monaco";0
"Age, total";"Total";"Region Hovedstaden";"Montenegro";580
"Age, total";"Total";"Region Hovedstaden";"Netherlands";3382
"Age, total";"Total";"Region Hovedstaden";"Northern Ireland";0
"Age, total";"Total";"Region Hovedstaden";"Republic of North Macedonia";3773
"Age, total";"Total";"Region Hovedstaden";"Norway";8877
"Age, total";"Total";"Region Hovedstaden";"Poland";14012
"Age, total";"Total";"Region Hovedstaden";"Portugal";4999
"Age, total";"Total";"Region Hovedstaden";"Romania";10756
"Age, total";"Total";"Region Hovedstaden";"Russia";2756
"Age, total";"Total";"Region Hovedstaden";"San Marino";1
"Age, total";"Total";"Region Hovedstaden";"Switzerland";987
"Age, total";"Total";"Region Hovedstaden";"Serbia";1376
"Age, total";"Total";"Region Hovedstaden";"Serbia and Montenegro";38
"Age, total";"Total";"Region Hovedstaden";"Slovakia";1541
"Age, total";"Total";"Region Hovedstaden";"Slovenia";304
"Age, total";"Total";"Region Hovedstaden";"Soviet Union";54
"Age, total";"Total";"Region Hovedstaden";"Spain";7635
"Age, total";"Total";"Region Hovedstaden";"United Kingdom";10851
"Age, total";"Total";"Region Hovedstaden";"Sweden";12509
"Age, total";"Total";"Region Hovedstaden";"Czech Republic";899
"Age, total";"Total";"Region Hovedstaden";"Czechoslovakia";35
"Age, total";"Total";"Region Hovedstaden";"Turkey";17537
"Age, total";"Total";"Region Hovedstaden";"Germany";11525
"Age, total";"Total";"Region Hovedstaden";"Ukraine";10616
"Age, total";"Total";"Region Hovedstaden";"Hungary";2837
"Age, total";"Total";"Region Hovedstaden";"Vatican City State";0
"Age, total";"Total";"Region Hovedstaden";"Austria";1062
"Age, total";"Total";"Region Hovedstaden";"Europe not stated";0
"Age, total";"Total";"Region Hovedstaden";"Algeria";225
"Age, total";"Total";"Region Hovedstaden";"Angola";18
"Age, total";"Total";"Region Hovedstaden";"Benin";12
"Age, total";"Total";"Region Hovedstaden";"Botswana";11
"Age, total";"Total";"Region Hovedstaden";"Burkina Faso";11
"Age, total";"Total";"Region Hovedstaden";"Burundi";142
"Age, total";"Total";"Region Hovedstaden";"Cameroon";586
"Age, total";"Total";"Region Hovedstaden";"Central African Republic";1
"Age, total";"Total";"Region Hovedstaden";"Comoros";4
"Age, total";"Total";"Region Hovedstaden";"Congo, Democratic Republic";332
"Age, total";"Total";"Region Hovedstaden";"Congo, Republic";15
"Age, total";"Total";"Region Hovedstaden";"Djibouti";15
"Age, total";"Total";"Region Hovedstaden";"Egypt";721
"Age, total";"Total";"Region Hovedstaden";"Ivory Coast";224
"Age, total";"Total";"Region Hovedstaden";"Eritrea";1592
"Age, total";"Total";"Region Hovedstaden";"Eswantini";6
